,Username,time_difference,Is Focused?
24,Anastasiya-Romanova ç§€,1 days 12:42:00,False
6,Frida Mauer,0 days 01:12:00,False
19,Laila Podlesny,0 days 02:40:00,True
2,Laila Podlesny,0 days 18:58:00,True
3,Laila Podlesny,0 days 04:36:00,True
4,Laila Podlesny,4 days 17:50:00,True
35,Laila Podlesny,7 days 18:32:00,True
31,Laila Podlesny,0 days 01:05:00,True
36,Liu Jin Tsai,0 days 01:07:00,True
5,Liu Jin Tsai,0 days 09:52:00,True
22,Lucian,2 days 02:05:00,False
7,Marty Colos,0 days 12:17:00,True
13,Marty Colos,0 days 12:07:00,True
15,Nik Z.,1 days 04:34:00,True
26,Oksana Gimmel,4 days 04:46:00,True
20,Oksana Gimmel,0 days 06:55:00,True
38,Oksana Gimmel,0 days 01:32:00,True
34,OlegK,0 days 01:54:00,True
21,OlegK,0 days 03:27:00,True
28,OlegK,0 days 03:10:00,True
27,Piotr Shatalin,0 days 02:33:00,True
8,Piotr Shatalin,0 days 02:59:00,True
12,Piotr Shatalin,0 days 19:08:00,True
14,TauMu,0 days 16:57:00,True
25,Tunk-Fey,1 days 05:12:00,False
33,Vladimir Reshetnikov,0 days 05:22:00,False
17,Vladimir Reshetnikov,198 days 07:58:00,False
23,Vladimir Reshetnikov,0 days 19:53:00,False
10,Vladimir Reshetnikov,0 days 16:15:00,False
11,X.C.,0 days 20:27:00,True
9,X.C.,0 days 02:08:00,True
37,X.C.,0 days 01:23:00,True
1,X.C.,6 days 01:19:00,True
0,YMJou,167 days 14:00:00,True
16,Zakharia Stanley,0 days 16:57:00,True
18,user1001001,0 days 08:01:00,False
30,user178256,7 days 06:44:00,False
32,user178256,0 days 05:41:00,False
29,xuce1234,0 days 06:02:00,False
