Username,ID,Post Title,Post Date,Post Link
Tarek,16339,The length of a one-turn helix on a Horn Torus,03-08-2024 08:08,https://math.stackexchange.com/questions/4953992/the-length-of-a-one-turn-helix-on-a-horn-torus
Tarek,16339,Transfer function for amplitude modulation,13-10-2020 15:16,https://math.stackexchange.com/questions/3864217/transfer-function-for-amplitude-modulation
Tarek,16339,When is the product of a diagonal matrix and a symmetric matrix symmetric?,19-07-2017 13:21,https://math.stackexchange.com/questions/2363852/when-is-the-product-of-a-diagonal-matrix-and-a-symmetric-matrix-symmetric
Tarek,16339,Finding the most compact basis to represent a two-dimensional function,19-05-2017 19:55,https://math.stackexchange.com/questions/2288270/finding-the-most-compact-basis-to-represent-a-two-dimensional-function
Tarek,16339,Replacing a vector in an outer product by another one,20-01-2017 09:41,https://math.stackexchange.com/questions/2105839/replacing-a-vector-in-an-outer-product-by-another-one
Tarek,16339,Solving a linear system having an unknown matrix,27-10-2016 11:54,https://math.stackexchange.com/questions/1987499/solving-a-linear-system-having-an-unknown-matrix
Tarek,16339,Extrapolating the sequence of derivatives of an analytic function,18-06-2016 12:14,https://math.stackexchange.com/questions/1830764/extrapolating-the-sequence-of-derivatives-of-an-analytic-function
Tarek,16339,Left eigenvectors of a complex nonsymmetric matrix and the diagonalization transformation,02-06-2016 13:22,https://math.stackexchange.com/questions/1809677/left-eigenvectors-of-a-complex-nonsymmetric-matrix-and-the-diagonalization-trans
Tarek,16339,Looking for the functions $\alpha_n(x)$ that satisfy $\sum_{n=0}^{\infty} e^{i \alpha_n(x)}\frac{H_n(x)}{\sqrt{2^n n!}}=0$,26-12-2013 20:31,https://math.stackexchange.com/questions/619092/looking-for-the-functions-alpha-nx-that-satisfy-sum-n-0-infty-ei
Tarek,16339,Functions generating prime numbers in math packages,03-11-2013 09:37,https://math.stackexchange.com/questions/549953/functions-generating-prime-numbers-in-math-packages
Tarek,16339,Constrained variational calculus: Are we allowed to make use of the constraint before taking variations?,14-04-2013 14:03,https://math.stackexchange.com/questions/361297/constrained-variational-calculus-are-we-allowed-to-make-use-of-the-constraint-b
Tarek,16339,differential equation of the square root of a matrix,07-04-2013 18:35,https://math.stackexchange.com/questions/354101/differential-equation-of-the-square-root-of-a-matrix
Tarek,16339,Relations between complex functions satisfying a specific condition,22-02-2013 16:40,https://math.stackexchange.com/questions/311309/relations-between-complex-functions-satisfying-a-specific-condition
Tarek,16339,Integral of Hermite polynomial multiplied by $\exp(-x^2/2)$,17-01-2013 19:38,https://math.stackexchange.com/questions/280945/integral-of-hermite-polynomial-multiplied-by-exp-x2-2
Tarek,16339,An inverse definite integral problem,06-01-2013 11:36,https://math.stackexchange.com/questions/271483/an-inverse-definite-integral-problem
Tarek,16339,When can the commutator of two matrices be neglected in series expansions?,14-12-2012 18:47,https://math.stackexchange.com/questions/258839/when-can-the-commutator-of-two-matrices-be-neglected-in-series-expansions
Tarek,16339,Generating random commuting hermitian matrices,03-12-2012 19:52,https://math.stackexchange.com/questions/250200/generating-random-commuting-hermitian-matrices
Tarek,16339,Decomposition of a symmetric matrix into multiplication of two vectors,01-06-2012 08:58,https://math.stackexchange.com/questions/152393/decomposition-of-a-symmetric-matrix-into-multiplication-of-two-vectors
Tarek,16339,power series expansion of the square root of a Hermitian matrix,13-05-2012 11:51,https://math.stackexchange.com/questions/144556/power-series-expansion-of-the-square-root-of-a-hermitian-matrix
Tarek,16339,Cross product in complex vector spaces,08-04-2012 06:18,https://math.stackexchange.com/questions/129227/cross-product-in-complex-vector-spaces
Tarek,16339,Solution of a system of second order algebraic equations in complex numbers,11-12-2011 16:13,https://math.stackexchange.com/questions/90484/solution-of-a-system-of-second-order-algebraic-equations-in-complex-numbers
Tarek,16339,Reformulating a problem of solving a system of linear equations,17-11-2011 10:36,https://math.stackexchange.com/questions/83012/reformulating-a-problem-of-solving-a-system-of-linear-equations
Tarek,16339,Numerical software to solve partial differential equations in spherical coordinates?,28-09-2011 06:13,https://math.stackexchange.com/questions/68154/numerical-software-to-solve-partial-differential-equations-in-spherical-coordina
Tarek,16339,The number of ones in a binary representation of an integer,23-09-2011 18:44,https://math.stackexchange.com/questions/67034/the-number-of-ones-in-a-binary-representation-of-an-integer
Tarek,16339,The permutation group corresponding to translations in three direction on a discrete lattice,19-09-2011 11:18,https://math.stackexchange.com/questions/65775/the-permutation-group-corresponding-to-translations-in-three-direction-on-a-disc
ixtmixilix,2163,How to determine if a certain number of &quot;$1:1.125$&quot; rectangles can tile a &quot;$1:1.6$&quot; rectangle,16-04-2018 20:31,https://math.stackexchange.com/questions/2740387/how-to-determine-if-a-certain-number-of-11-125-rectangles-can-tile-a-11
ixtmixilix,2163,Finding a left- and right-multiplied matrix A given the product,23-12-2013 17:09,https://math.stackexchange.com/questions/616670/finding-a-left-and-right-multiplied-matrix-a-given-the-product
ixtmixilix,2163,Is there a branch of mathematics that studies the factors of rational numbers?,16-12-2013 13:17,https://math.stackexchange.com/questions/609051/is-there-a-branch-of-mathematics-that-studies-the-factors-of-rational-numbers
ixtmixilix,2163,Use a given zero to write P(x) as a product of linear and irreducible quadratic factors,09-12-2013 16:50,https://math.stackexchange.com/questions/600057/use-a-given-zero-to-write-px-as-a-product-of-linear-and-irreducible-quadratic
ixtmixilix,2163,Why does $ \frac{1}{x\sqrt{x}}= \frac {\sqrt{x}}{x^2} $?,08-12-2013 14:50,https://math.stackexchange.com/questions/598205/why-does-frac1x-sqrtx-frac-sqrtxx2
ixtmixilix,2163,Can I simplify this by dividing by polynomials?,28-01-2013 08:01,https://math.stackexchange.com/questions/288754/can-i-simplify-this-by-dividing-by-polynomials
ixtmixilix,2163,The mathematics underlying this baroque expression of the double-factorial,07-06-2012 16:27,https://math.stackexchange.com/questions/155205/the-mathematics-underlying-this-baroque-expression-of-the-double-factorial
ixtmixilix,2163,What and where in the notebooks of Ramanujan is this series?,01-06-2012 18:47,https://math.stackexchange.com/questions/152577/what-and-where-in-the-notebooks-of-ramanujan-is-this-series
ixtmixilix,2163,What *is* 1 cm$ ^{ -3}$?,29-05-2012 12:35,https://math.stackexchange.com/questions/151134/what-is-1-cm-3
ixtmixilix,2163,Example for projective geometry used in quantum mechanics,01-02-2012 21:44,https://math.stackexchange.com/questions/104729/example-for-projective-geometry-used-in-quantum-mechanics
ixtmixilix,2163,What are the minimum reading requirements for understanding Newton&#39;s Principia Mathematica Naturalis Philosophae?,17-01-2012 18:30,https://math.stackexchange.com/questions/99910/what-are-the-minimum-reading-requirements-for-understanding-newtons-principia-m
ixtmixilix,2163,What is the relationship between the Poisson Distribution and the Monte Carlo Fallacy?,04-01-2012 18:11,https://math.stackexchange.com/questions/96416/what-is-the-relationship-between-the-poisson-distribution-and-the-monte-carlo-fa
ixtmixilix,2163,Which chapters of Euclid&#39;s elements would be helpful for drawing a grid?,01-12-2011 17:22,https://math.stackexchange.com/questions/87452/which-chapters-of-euclids-elements-would-be-helpful-for-drawing-a-grid
ixtmixilix,2163,What is a good tool for this job involving the prime spiral?,30-11-2011 01:21,https://math.stackexchange.com/questions/86919/what-is-a-good-tool-for-this-job-involving-the-prime-spiral
ixtmixilix,2163,What is the simplest way to represent this situation mathematically?,25-09-2011 12:09,https://math.stackexchange.com/questions/67411/what-is-the-simplest-way-to-represent-this-situation-mathematically
ixtmixilix,2163,is there anywhere i can search online for functions by domain and range?,15-08-2011 08:39,https://math.stackexchange.com/questions/57540/is-there-anywhere-i-can-search-online-for-functions-by-domain-and-range
ixtmixilix,2163,Number of possible combinations in which ordering doesn&#39;t matter,02-08-2011 14:03,https://math.stackexchange.com/questions/55140/number-of-possible-combinations-in-which-ordering-doesnt-matter
ixtmixilix,2163,How to pronounce â„“? Is there any other way than &#39;ell&#39;?,18-07-2011 14:29,https://math.stackexchange.com/questions/52169/how-to-pronounce-%e2%84%93-is-there-any-other-way-than-ell
ixtmixilix,2163,What is a very simple example of a matrix acting on a vector space?,15-06-2011 14:27,https://math.stackexchange.com/questions/45535/what-is-a-very-simple-example-of-a-matrix-acting-on-a-vector-space
ixtmixilix,2163,formulas for rectangles and areas,21-03-2011 23:04,https://math.stackexchange.com/questions/28381/formulas-for-rectangles-and-areas
ixtmixilix,2163,How can I read this mathematical sentence aloud in English?,09-10-2010 13:35,https://math.stackexchange.com/questions/6370/how-can-i-read-this-mathematical-sentence-aloud-in-english
ixtmixilix,2163,Good computer programs for dealing with sparse matrices,27-09-2010 11:45,https://math.stackexchange.com/questions/5559/good-computer-programs-for-dealing-with-sparse-matrices
lorniper,91314,"determinant is one of the eigenvalue of a 2x2 matrix, geometrical implication?",24-11-2017 12:47,https://math.stackexchange.com/questions/2535174/determinant-is-one-of-the-eigenvalue-of-a-2x2-matrix-geometrical-implication
lorniper,91314,Value of the integral $\int_0^{2\pi}\int_0^{2\pi}\delta(k_2\cdot e^{i\theta}+k_3\cdot e^{j\phi} +z )d\theta d\phi$,19-09-2014 15:29,https://math.stackexchange.com/questions/937944/value-of-the-integral-int-02-pi-int-02-pi-deltak-2-cdot-ei-thetak-3
lorniper,91314,smallest and largest eigenvalue of discretized operator $-d^2/dx^2$,01-09-2014 15:14,https://math.stackexchange.com/questions/916022/smallest-and-largest-eigenvalue-of-discretized-operator-d2-dx2
lorniper,91314,How to interpret tensor form PDE in terms of matrix algebra,19-08-2014 19:23,https://math.stackexchange.com/questions/903723/how-to-interpret-tensor-form-pde-in-terms-of-matrix-algebra
lorniper,91314,Did I implement this peculiar integral in the right way?,08-10-2013 15:28,https://math.stackexchange.com/questions/519055/did-i-implement-this-peculiar-integral-in-the-right-way
lorniper,91314,Can this simple Integral be done analytically?,27-09-2013 11:45,https://math.stackexchange.com/questions/506801/can-this-simple-integral-be-done-analytically
lorniper,91314,Geometric meaning of block-diagonalization of a matrix,21-09-2013 07:31,https://math.stackexchange.com/questions/505883/geometric-meaning-of-block-diagonalization-of-a-matrix
